id,name,name_secondary,freephone,phone,email,website,contact_page,last_modified,address_physical_extended,address_physical_street,address_physical_locality,address_physical_postcode,address_physical_country,address_postal_extended,address_postal_street,address_postal_locality,address_postal_postcode,address_postal_country,sector,parent_id
ara-institute-of-canterbury,Ara Institute of Canterbury,"Ara rau, taumata rau",0800242476,+6439408000,info@ara.ac.nz,http://www.ara.ac.nz/,https://www.ara.ac.nz/about-us/contact-us,2020-11-09,,130 Madras Street,Christchurch,8011,New Zealand,,PO Box 540,Christchurch,8140,New Zealand,Polytechnics/Institutes of technology,te-pukenga
archives-new-zealand,Archives New Zealand,Te Rua Mahara o te Kāwanatanga,,+6444995595,info@archives.govt.nz,http://archives.govt.nz/,http://www.archives.govt.nz/visit/contact,2021-11-01,,10 Mulgrave Street,Wellington,6011,,,PO Box 12-050,Wellington,,New Zealand,Public Service,department-of-internal-affairs
aroturuki-tamariki,Aroturuki Tamariki,Independent Children’s Monitor,0800777232,,info@aroturuki.govt.nz,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/contacts/,2023-05-17,,50 The Terrace,Wellington,6011,,,PO Box 202,Wellington,6140,,Public Service,
ashburton-district-council,Ashburton District Council,,,+6433077700,info@adc.govt.nz,http://www.ashburtondc.govt.nz/,https://www.ashburtondc.govt.nz/services/contact-us,2021-02-22,,5 Baring Square West,Ashburton,7700,New Zealand,,PO Box 94,Ashburton,7740,New Zealand,District Council,
asia-new-zealand-foundation,Asia New Zealand Foundation,,,+6444712320,asianz@asianz.org.nz,http://asianz.org.nz/,http://www.asianz.org.nz/,2022-07-27,,141 The Terrace,Wellington,6011,New Zealand,,PO Box 10 144,Wellington,6143,New Zealand,Trusts,
asurequality-limited,AsureQuality Limited,,0508001122,+6495738000,,http://www.asurequality.com/,https://www.asurequality.com/contact/,2021-09-20,,7a Pacific Rise,Auckland,1060,New Zealand,,Private Bag 14 946,Auckland,1741,New Zealand,State-owned enterprises,
auckland-council,Auckland Council,Te Kaunihera o Tāmaki Makaurau,,+6493010101,,http://www.aucklandcouncil.govt.nz/,https://www.aucklandcouncil.govt.nz/report-problem/Pages/default.aspx,2021-04-09,,135 Albert Street,Auckland,1010,New Zealand,,Private Bag 92300,Auckland,1142,New Zealand,City Council,
auckland-policy-office,Auckland Policy Office (APO),,,+6499854800,,,,2024-06-07,,167b Victoria Street West,Auckland,1010,New Zealand,,PO Box 106483,Auckland,1143,New Zealand,Public Service,
auckland-university-of-technology,Auckland University of Technology,Te Whare Takiura O Tamaki Makau Rau,0800288864,+6499219999,studentcentre@aut.ac.nz,http://www.aut.ac.nz/,https://www.aut.ac.nz/about/contact-details,2020-07-29,,55 Wellesley Street East,Auckland,,New Zealand,,Private Bag 92006,Auckland,1142,New Zealand,Universities,
aucklandwaikato-fish-and-game-council,Auckland / Waikato Fish and Game Council,,,+6478491666,aucklandwaikato@fishandgame.org.nz,https://fishandgame.org.nz/auckland/,https://fishandgame.org.nz/auckland/about/about-fish-and-game-council/contact/,2020-08-12,,156 Brymer Road,Hamilton,3289,New Zealand,,156 Brymer Road  ,Hamilton,3289,New Zealand,Regional,new-zealand-fish-and-game-council
audit-new-zealand,Audit New Zealand,Mana Arotake Aotearoa,,+6444963099,enquiry@auditnz.parliament.nz,https://auditnz.parliament.nz/,https://auditnz.parliament.nz/who-we-are/our-locations,2020-03-10,,100 Molesworth Street,Wellington,6011,New Zealand,,PO Box 99,Wellington,6140,New Zealand,Offices of Parliament,controller-and-auditor-general
aviation-security-service,Aviation Security Service (Avsec),,+6444952430,,reception@avsec.govt.nz,https://www.aviation.govt.nz/,https://www.aviation.govt.nz/about-us/contact-us/,2019-10-23,,55 Featherston Street,Wellington,6011,New Zealand,,PO Box 3555,Wellington,6140,New Zealand,Crown agents,civil-aviation-authority-of-new-zealand
banking-ombudsman-scheme,Banking Ombudsman Scheme,,0800805950,+6449150400,help@bankomb.org.nz,https://www.bankomb.org.nz/,https://www.bankomb.org.nz/contact-us,2019-07-30,,1 Post Office Square,Wellington,6011,New Zealand,,Freepost 218002  PO Box 25327,Wellington,6140,New Zealand,,
bay-of-plenty-regional-council,Bay of Plenty Regional Council (BOPRC),,0800884880,+6479223390,info@boprc.govt.nz,http://www.boprc.govt.nz/,http://www.boprc.govt.nz/council/contact-us.aspx,2020-06-09,,5 Quay Street,Whakatane,,,,PO Box 364,Whakatane,3158,New Zealand,Regional Council,
benefits-review-committee,Benefits Review Committee,,0800559009,+6449163300,,https://www.msd.govt.nz/about-msd-and-our-work/contact-us/complaints/review-of-decision.html,https://www.workandincome.govt.nz/about-work-and-income/complaints/review-of-decisions.html,2020-06-09,,56 The Terrace,Wellington,6011,,,Ministry of Social Development  PO Box 1556,Wellington,6140,,,ministry-of-social-development
births-deaths-and-marriages,"Births, Deaths and Marriages","Whānautanga, Matenga, Mārenatanga",,,,,,2024-04-08,,,,,,,,,,,,
broadcasting-standards-authority,Broadcasting Standards Authority,Te Mana Whanonga Kaipāho,0800366996,+6443829508,info@bsa.govt.nz,http://www.bsa.govt.nz/,http://www.bsa.govt.nz/contact-us/,2020-07-29,,119 Ghuznee Street,Wellington,,New Zealand,,PO Box 9213,Wellington,6141,New Zealand,Independent Crown entities,
building-practitioners-board,Building Practitioners Board,,0800606050,+6442386312,Licensing@lbp.govt.nz,https://www.lbp.govt.nz/about-us/our-board/,,2021-08-27,,15 Stout Street,Wellington,6011,New Zealand,,PO Box 10-729,Wellington,6143,New Zealand,Statutory entities,ministry-of-business-innovation-and-employment
building-system-performance,Building System Performance,,0800242243,,info@building.govt.nz,https://www.building.govt.nz/,,2020-06-15,,15 Stout Street,Wellington,6011,New Zealand,,PO Box 1473,Wellington,6140,New Zealand,Public Service,ministry-of-business-innovation-and-employment
buller-district-council,Buller District Council,,0800807239,+6437889111,info@bdc.govt.nz,http://bullerdc.govt.nz/,http://www.bullerdc.govt.nz/contact-us/,2020-06-09,,6-8 Brougham Street,Westport,7866,New Zealand,,PO Box 21,Westport,7866,New Zealand,District Council,
callaghan-innovation,Callaghan Innovation,,0800422552,+6449313578,info@callaghaninnovation.govt.nz,http://www.callaghaninnovation.govt.nz/,https://content.callaghaninnovation.govt.nz/customer-support,2020-07-29,,88/100 Willis Street,Wellington,6011,New Zealand,,PO Box 31310,Wellington,5040,New Zealand,Crown agents,
careers-new-zealand,Careers New Zealand,,0800601301,+6444625201,customerservice@tec.govt.nz,https://www.careers.govt.nz,https://www.careers.govt.nz/about-careers-nz/contact-us/,2023-12-19,,44 The Terrace,Wellington,6011,New Zealand,,PO Box 27 048,Wellington,6141,New Zealand,Crown agents,tertiary-education-commission
carterton-district-council,Carterton District Council,,,+6463794030,info@cdc.govt.nz,http://cdc.govt.nz/,http://cdc.govt.nz/contact/,2020-06-15,,Holloway Street,Carterton,5743,New Zealand,,PO Box 9  ,Carterton,5743,New Zealand,District Council,
catch-history-review-committee,Catch History Review Committee,,0800008333,,info@mpi.govt.nz,https://www.mpi.govt.nz/,https://www.mpi.govt.nz/contact-us/,2020-04-15,,25 The Terrace,Wellington,6011,,,PO Box 2526,Wellington,6140,,,ministry-for-primary-industries
central-hawkes-bay-district-council,Central Hawke’s Bay District Council (CHBDC),,,+6468578060,info@chbdc.govt.nz,http://www.chbdc.govt.nz/,https://www.chbdc.govt.nz/contact-us/,2020-06-09,,28-32 Ruataniwha Street,Waipawa,4210,,,PO Box 127,Waipawa,4240,New Zealand,District Council,
central-otago-district-council,Central Otago District Council,,,+6434400056,info@codc.govt.nz,http://www.codc.govt.nz,https://www.codc.govt.nz/contact-us/?ed-step=1,2021-01-07,,1  Dunorling St,Alexandra,9320,New Zealand,,PO Box 122,Alexandra,9340,New Zealand,District Council,
central-south-island-fish-and-game-council,Central South Island Fish and Game Council,,,+6436158400,csi@fishandgame.org.nz,https://fishandgame.org.nz/centralsouthisland/,https://fishandgame.org.nz/centralsouthisland/,2020-07-29,,32  Richard Pearse Drive,Temuka,7920,New Zealand,,PO Box 150  ,Temuka,7948,New Zealand,Regional,new-zealand-fish-and-game-council
charities-services,Charities Services,Ngā Rātonga Kaupapa Atawhai,0508242748,+6493390848,info@charities.govt.nz,https://www.charities.govt.nz/,https://www.charities.govt.nz/contact-us/,2022-02-01,,45  Pipitea Street,Wellington Central,6011,New Zealand,,PO Box 12138,Wellington Central,6144,New Zealand,Public Service,department-of-internal-affairs
charter-school-agency,Charter School Agency,,,+6444638000,info@charterschools.govt.nz,https://www.charterschools.govt.nz/,https://www.charterschools.govt.nz/contact-us/,2024-12-16,,1 The Terrace,Wellington 6011,,,,PO Box 1666  Wellington 6140  ,,,New Zealand,,
chatham-islands-council,Chatham Islands Council,,,+6433050033,info@cic.govt.nz,http://www.cic.govt.nz,https://www.cic.govt.nz/contact/,2020-06-15,,9 Tuku Rd,Chatham Islands,,New Zealand,,PO Box 24,Chatham Islands,8942,New Zealand,District Council,
christchurch-city-council,Christchurch City Council,,0800800169,+6439418999,,http://www.ccc.govt.nz/,https://www.ccc.govt.nz/contact-us,2024-08-09,,53 Hereford Street,Christchurch,,,,,,,,City Council,
city-rail-link-limited,City Rail Link Limited,,08002758255,,info@cityraillink.govt.nz,https://www.cityraillink.co.nz,https://www.cityraillink.co.nz/crl-contact,2020-07-29,,,,,,,PO Box 9681,Auckland,1149,,Public Finance Act Schedule 4a companies,
civil-aviation-authority-of-new-zealand,Civil Aviation Authority of New Zealand,Te Mana Rererangi Tūmatanui o Aotearoa,,+6445609400,info@caa.govt.nz,https://www.aviation.govt.nz/,https://www.aviation.govt.nz/about-us/contact-us/,2020-07-29,,55 Featherston Street,Wellington,,New Zealand,,PO Box 3555,Wellington,6140,New Zealand,Crown agents,
climate-change-commission,Climate Change Commission,,,,enquiries@climatecommission.govt.nz,https://www.climatecommission.govt.nz/,,2021-07-06,,1 Willis Street,Wellington,6011,,,PO Box 24448,Wellington,6142,,Crown entities,
clutha-district-council,Clutha District Council,,0800801350,+6434190200,help.desk@cluthadc.govt.nz,http://www.cluthadc.govt.nz/,https://www.cluthadc.govt.nz/council/contact-us,2021-01-07,,1  Rosebank Terrace,Balclutha,,New Zealand,,PO Box 25,Balclutha,9240,New Zealand,District Council,
commerce-commission,Commerce Commission,Te Komihana Tauhokohoko,0800943600,+6449243600,contact@comcom.govt.nz,http://www.comcom.govt.nz,https://comcom.govt.nz/contact-us,2020-07-29,,44 The Terrace,Wellington,6011,New Zealand,,PO Box 2351,Wellington,6140,New Zealand,Independent Crown entities,
companies-office,Companies Office,,0508266726,+6439622602,info@med.govt.nz,https://www.companiesoffice.govt.nz/,https://www.companiesoffice.govt.nz/about-us/contact-us/,2021-04-09,,135 Albert Street,Auckland,1010,New Zealand,,Private Bag 92061  Victoria Street West,Auckland,1142,,Public Service,ministry-of-business-innovation-and-employment
consumer-protection,Consumer Protection,,0508426678(05084CONSUMER),+6444742750(outsideNZ),cpinfo@mbie.govt.nz,https://www.consumerprotection.govt.nz/,https://www.consumerprotection.govt.nz/contact-us/,2021-10-13,,15 Stout Street,Wellington,6011,New Zealand,,"Consumer Protection  Ministry of Business, Innovation and Employment  PO Box 1473",Wellington,6140,New Zealand,Public Service,ministry-of-business-innovation-and-employment
controller-and-auditor-general,Controller and Auditor-General,Tumuaki o te Mana Arotake,,+6449171500,enquiry@oag.parliament.nz,https://oag.parliament.nz/,https://oag.parliament.nz/contact-us,2020-03-10,,100 Molesworth Street,Wellington,6011,New Zealand,,PO Box 3928,Wellington,6140,New Zealand,Offices of Parliament,
court-of-appeal,Court of Appeal,,0800268787,+6449143540,Courtofappeal@justice.govt.nz,http://www.justice.govt.nz/courts/court-of-appeal/,http://www.justice.govt.nz/services/finding-your-local-court,2020-06-09,,Corner Molesworth and  Aitken Streets,Wellington,,New Zealand,,,,,,Public Service,
creative-new-zealand,Creative New Zealand,Toi Aotearoa,,+6444730880,info@creativenz.govt.nz,http://www.creativenz.govt.nz/,http://www.creativenz.govt.nz/about-creative-new-zealand/contact-us,2020-08-12,,85 Molesworth Street,Wellington,6011,New Zealand,,PO Box 3806,Wellington,6140,New Zealand,Autonomous crown entities,
criminal-cases-review-commission,Criminal Cases Review Commission (CCRC),Te Kāhui Tātari Ture,0800337788,,info@ccrc.nz,https://www.ccrc.nz/,https://www.ccrc.nz/contact-us/,2021-08-24,,,,,,,PO Box 9168,Hamilton,3240,,Independent Crown entities,
crown-asset-management-limited,Crown Asset Management Limited,,,+6448947045,enquiry@crownassetmanagement.co.nz,https://treasury.govt.nz/information-and-services/commercial-portfolio-and-advice/commercial-portfolio/crown-asset-management-limited,,2020-08-03,,,,,,,PO Box 778,Wellington,6140,New Zealand,Public Finance Act Schedule 4a companies,
crown-infrastructure-partners-limited,Crown Infrastructure Partners Limited,,,,info@crowninfrastructure.govt.nz,https://www.crowninfrastructure.govt.nz/,https://www.crowninfrastructure.govt.nz/contact-us/,2020-07-29,,48 Shortland Street,Auckland,1010,New Zealand,,PO Box 105321,Auckland,1143,New Zealand,Public Finance Act Schedule 4a companies,
crown-irrigation-investments-limited,Crown Irrigation Investments Limited (CIIL),,,042820610,info@crownirrigation.co.nz,http://www.crownirrigation.co.nz/,,2021-07-06,,1 Post Office Square,Wellington,6140,,,PO Box 5177  ,Wellington,6140,,Crown entities,
crown-law-office,Crown Law Office,Te Tari Ture o te Karauna,,+6444721719,library@crownlaw.govt.nz,http://www.crownlaw.govt.nz/,http://www.crownlaw.govt.nz/contact-us/,2020-08-10,,19  Aitken Street,Wellington,,New Zealand,,PO Box 2858,Wellington,6140,,Public Service,
customs-appeal-authority,Customs Appeal Authority,,,+6444626660,tribunals@justice.govt.nz,https://www.justice.govt.nz/tribunals/customs-appeal-authority/apply/,https://www.justice.govt.nz/contact-us,2018-03-27,,86 Customhouse Quay,Wellington,6011,,,Customs Appeal Authority  Tribunals Unit  Private Bag 32001,Wellington,6146,,,ministry-of-justice
defence-employer-support-council,Defence Employer Support Council,Te Arawhiti ki te Hapori,,+6444986549,desc@nzdf.mil.nz,,,2016-10-31,,2-12  Aitken Street,Wellington,6011,New Zealand,,DESC Secretariat  Private Bag 39997  Wellington Mail Centre,Wellington,5045,New Zealand,Statutory entities,
department-of-conservation,Department of Conservation,,0800275362,+6444710726,info@doc.govt.nz,http://www.doc.govt.nz/,http://www.doc.govt.nz/footer-links/contact-us/,2021-04-09,,18-32 Manners Street,Wellington,6011,New Zealand,,PO Box 10420,Wellington,6143,,Public Service,
department-of-corrections,Department of Corrections,,,+6444603000,info@corrections.govt.nz,http://www.corrections.govt.nz,http://www.corrections.govt.nz/about_us/getting_in_touch/contact_us.html,2021-04-09,,44-52 The Terrace,Wellington,6011,New Zealand,,Private Box 1206,Wellington,6140,,Public Service,
department-of-internal-affairs,Department of Internal Affairs,Te Tari Taiwhenua,0800257887,+6444957200,,http://www.dia.govt.nz,http://www.dia.govt.nz/Contact-us,2021-04-09,,45 Pipitea Street,Wellington,6011,New Zealand,,PO Box 805,Wellington,6140,New Zealand,Public Service,
department-of-the-prime-minister-and-cabinet,Department of the Prime Minister and Cabinet,Te Tari o te Pirimia me te Rūnanga Kāwanatanga,,+6448179700,,http://www.dpmc.govt.nz,http://www.dpmc.govt.nz/contact-us,2021-04-09,,,Wellington,6011,New Zealand,,Executive Wing  Parliament Buildings,Wellington,6011,New Zealand,Public Service,
digital-identity-services-trust-framework-regulator,Digital Identity Services Trust Framework regulator,,0800257887,+6444957200,TFA@dia.govt.nz,https://www.digital.govt.nz/standards-and-guidance/identity/trust-framework/trust-framework-authority/,,2024-07-01,,45 Pipitea Street,Wellington,6011,,,PO Box 805,Wellington,6140,,,department-of-internal-affairs
disputes-tribunal,Disputes Tribunal,,0800268787,+6495831900,contactus@justice.govt.nz,http://www.justice.govt.nz/tribunals/disputes-tribunal,http://www.justice.govt.nz/tribunals/disputes-tribunal/contact-us,2021-03-22,,43-49  Ballance Street,Wellington,,New Zealand,,,,,,Public Service,
district-courts,District Courts,,0800268787,,,http://www.districtcourts.govt.nz/,http://www.justice.govt.nz/contact-us/find-us/,2025-01-23,,,,,,,,,,,Public Service,
drug-free-sport-new-zealand,Drug Free Sport New Zealand,,,+6495820388,info@drugfreesport.org.nz,http://www.drugfreesport.org.nz/,http://www.drugfreesport.org.nz/contact-us/,2024-07-01,,666 Great South Road,Auckland,1051,New Zealand,,PO Box 17451,Auckland,1546,New Zealand,Independent Crown entities,
dunedin-city-council,Dunedin City Council,,,+6434774000,dcc@dcc.govt.nz,http://www.dunedin.govt.nz/,http://www.dunedin.govt.nz/contact-us,2020-06-09,,50 The Octagon,Dunedin,,New Zealand,,PO Box 5045,Dunedin,9058,New Zealand,City Council,
eastern-fish-and-game-council,Eastern Fish and Game Council,,,+6473575501,eastern@fishandgame.org.nz,https://fishandgame.org.nz/eastern/,https://fishandgame.org.nz/eastern/,2020-07-29,,1130 Paradise Valley Road,Rotorua,,,,Private Bag 3010,Rotorua,3046,New Zealand,Regional,new-zealand-fish-and-game-council
eastern-institute-of-technology,Eastern Institute of Technology,,,+6469748000,info@eit.ac.nz,http://www.eit.ac.nz/,http://www.eit.ac.nz/contact-maps/,2020-07-29,,501 Gloucester Street,Napier,4142,New Zealand,,Private Bag 1201  Hawke's Bay Mail Centre,Napier,4142,New Zealand,Polytechnics/Institutes of technology,
education-new-zealand,Education New Zealand (ENZ),Manapou ki te Ao,,+6444720788,info@studyinnewzealand.govt.nz,https://www.enz.govt.nz/,https://www.enz.govt.nz/about-enz/contact-us/,2024-10-07,,160 Lambton Quay,Wellington,6011,New Zealand,,PO Box 12041,Wellington,6144,New Zealand,Crown agents,
education-payroll,Education Payroll (EPL),Rārangi Utu ā-Mātauranga,,,info@edpay.govt.nz,,,2020-07-29,,,,,,,PO Box 3049,Wellington,6140,,Public Finance Act Schedule 4a companies,
education-review-office,Education Review Office (ERO),,,+6444992489,info@ero.govt.nz,http://www.ero.govt.nz,http://www.ero.govt.nz/footer-upper/contact-us/,2020-07-29,,101 Lambton Quay,Wellington,6011,New Zealand,,PO Box 2799,Wellington,6140,New Zealand,Public Service,
electoral-commission,Electoral Commission,Te Kaitiaki Take Kōwhiri,0800367656,+6444950030,enquiries@elections.govt.nz,http://www.elections.org.nz,http://www.elections.org.nz/contact-electoral-commission,2021-04-09,,34-42 Manners Street,Wellington,6011,New Zealand,,PO Box 3220,Wellington,6140,,Independent Crown entities,
electrical-workers-registration-board,Electrical Workers Registration Board,,0800661000,+6439434254,info@ewrb.govt.nz,http://www.ewrb.govt.nz/,http://www.ewrb.govt.nz/about-the-board/contact-us/,2020-06-15,,15 Stout Street,Wellington,6011,New Zealand,,PO Box 10-156,Wellington,6143,New Zealand,Public Service,ministry-of-business-innovation-and-employment
electricity-authority,Electricity Authority,Te Mana Hiko,,+6444608860,info@ea.govt.nz,http://www.ea.govt.nz/,http://www.ea.govt.nz/about-us/contact-us/,2020-07-29,,1 Willis Street,Wellington,6143,New Zealand,,"Level 7, AON Centre  1 Willis Street",Wellington,6011,New Zealand,Independent Crown entities,
electricity-corporation-of-new-zealand,Electricity Corporation of New Zealand Limited,,,+6444722733,,https://www.treasury.govt.nz/information-and-services/commercial-portfolio-and-advice/commercial-portfolio/electricity-corporation-new-zealand-limited,https://www.treasury.govt.nz/contact-us,2021-12-22,,1 The Terrace,Wellington,6011,,,PO Box 3724,Wellington,6140,,State-owned enterprises,
employment-court,Employment Court,,,,,http://www.employmentcourt.govt.nz/,http://www.employmentcourt.govt.nz/contact-us/,2020-06-09,,,,,,,,,,,Public Service,
employment-new-zealand,Employment New Zealand,,0800209020,+6499692950(outsideNZ),,https://www.employment.govt.nz/,https://www.employment.govt.nz/about/contact-us/,2021-04-09,,15 Stout Street,Wellington,6011,New Zealand,,,,,,Public Service,ministry-of-business-innovation-and-employment
employment-relations-authority,Employment Relations Authority (ERA),,,+6449159550,,http://www.era.govt.nz/,http://www.era.govt.nz/contact-us/,2020-06-15,,50 Customhouse Quay,Wellington,6011,New Zealand,,,,,,Public Service,
energy-efficiency-and-conservation-authority,Energy Efficiency and Conservation Authority,,0800358676,+6444702200,info@eeca.govt.nz,http://www.eeca.govt.nz/,https://www.eeca.govt.nz/about/get-in-touch/contact-eeca/,2022-08-12,,44 The Terrace,Wellington,,,,PO Box 388,Wellington,6140,New Zealand,Crown agents,
energy-safety,Energy Safety,,0800030040,+6439626248,info@energysafety.govt.nz,http://www.energysafety.govt.nz/,https://worksafe.govt.nz/about-us/contact-us/,2020-04-15,,8 Willis Street,Wellington,6011,New Zealand,,PO Box 165,Wellington,6140,New Zealand,Crown agents,worksafe-new-zealand
environment-canterbury,Environment Canterbury,Kaunihera Taiao ki Waitaha,0800324636,+6433653828,ecinfo@ecan.govt.nz,http://ecan.govt.nz/,http://ecan.govt.nz/about-us/pages/contact.aspx,2019-11-05,,200 Tuam Street,Christchurch,8011,New Zealand,,PO Box 345,Christchurch,8140,New Zealand,Regional Council,
environment-court,Environment Court,,,+6449188300,EnvironmentCourt@justice.govt.nz,http://www.justice.govt.nz/courts/environment-court,http://www.environmentcourt.govt.nz/contact-us/,2020-06-09,,49 Ballance Street,Wellington,6011,,,,,,,Public Service,
environment-southland,Environment Southland,Te Taiao Tonga,0800768845,+6432115115,service@es.govt.nz,http://www.es.govt.nz/,https://www.es.govt.nz/contact-us,2022-10-07,,Corner of North Road and Price Street,Invercargill,9810,New Zealand,,Private Bag 90116,Invercargill,9840,New Zealand,Regional Council,
environmental-protection-authority,Environmental Protection Authority,,,+6449162426,info@epa.govt.nz,http://www.epa.govt.nz,https://www.epa.govt.nz/contact-us/,2020-07-29,,215 Lambton Quay,Wellington,6011,New Zealand,,Private Bag 63002,Wellington,6140,New Zealand,Crown agents,
esr,ESR,,,+6449140700,enquiries@esr.cri.nz,http://www.esr.cri.nz/,https://www.esr.cri.nz/home/contact-us/,2021-10-20,,34 Kenepuru Drive,Porirua,,New Zealand,,PO Box 50348,Porirua,5240,New Zealand,Crown Research Institutes,
external-reporting-board,External Reporting Board,Te Kāwai Ārahi Pūrongo Mōwaho,,+6445502030,enquiries@xrb.govt.nz,http://www.xrb.govt.nz/,http://www.xrb.govt.nz/tools/email.aspx?SECT=about_us,2025-02-12,,154 Featherston Street,Wellington,6011,New Zealand,,PO Box 11250,Wellington,6142,New Zealand,Independent Crown entities,
fairway-resolution,Fairway Resolution (FRL),,0800774422,,fairwayinfo@fairwayresolution.com,https://www.fairwayresolution.com/,https://www.fairwayresolution.com/contact-us,2020-08-13,,66 Wyndham Street,Auckland,1010,,,PO Box 12790,Auckland,1642,,,
far-north-district-council,Far North District Council,Te Kaunihera o Tai Tokerau Ki Te Raki,0800920029,,ask.us@fndc.govt.nz,http://www.fndc.govt.nz/,http://www.fndc.govt.nz/contact,2020-06-12,,5 Memorial Avenue,Kaikohe,0440,New Zealand,,Private Bag 752  ,Kaikohe,0440,New Zealand,District Council,
film-and-literature-board-of-review,Film and Literature Board of Review,,0800257887,+6444957200,info@dia.govt.nz,https://www.dia.govt.nz/diawebsite.nsf/wpg_URL/Agency-Film-and-Literature-Board-of-Review-Index,https://www.dia.govt.nz/Contact-Us,2018-05-17,,45 Pipitea Street,Wellington,6011,,,PO Box 805,Wellington,6140,,,department-of-internal-affairs
financial-markets-authority,Financial Markets Authority,Te Mana Tatai Hokohoko,,+6444729830,,http://www.fma.govt.nz/,https://www.fma.govt.nz/contact/,2020-07-29,,1  Grey St,Wellington,,New Zealand,,PO Box 1179,Wellington,6140,New Zealand,Independent Crown entities,
fire-and-emergency-new-zealand,Fire and Emergency New Zealand,,,+6444963600,,https://www.fireandemergency.nz/,https://www.fireandemergency.nz/contact-us/,2025-01-27,,42 - 52 Willis Street,Wellington,6011,,,PO Box 2133,Wellington,6140,,Crown agents,
food-standards-australia-new-zealand,Food Standards Australia New Zealand,Te Mana Kounga Kai - Ahitereiria me Aotearoa,,+6449785630,info@foodstandards.govt.nz,http://www.foodstandards.gov.au/,http://www.foodstandards.gov.au/Pages/contact-us.aspx,2019-08-05,,154 Featherston Street,Wellington,6011,New Zealand,,PO Box 10559,Wellington,6143,New Zealand,,
gambling-commission,Gambling Commission,,,+6493001113,info@gamblingcom.govt.nz,http://www.gamblingcommission.govt.nz/gcwebsite.nsf,http://www.gamblingcommission.govt.nz/gcwebsite.nsf/wpg_URL/About-Us-Contact-Us-Index!OpenDocument,2021-08-25,,65 New North Road,Auckland,1140,New Zealand,,PO Box 3310  Shortland Steet,Auckland,1140,New Zealand,Public Sector,
