id,name
minister-for-regional-development,Minister for Regional Development
minister-of-resources,Minister of Resources
chief-executive-secretary-of-defence,Chief Executive & Secretary of Defence
minister-for-vocational-education,Minister for Vocational Education
minister-for-universities,Minister for Universities
acting-secretary-for-education,Acting Secretary for Education
minister-for-trade-and-investment,Minister for Trade and Investment
associate-minister-of-foreign-affairs,Associate Minister of Foreign Affairs
minister-of-state-for-trade,Minister of State for Trade
chief-executive-and-secretary-of-foreign-affairs-and-trade,Chief Executive and Secretary of Foreign Affairs and Trade
director-general-of-health-and-chief-executive,Director-General of Health and Chief Executive
associate-minister-of-housing-social-housing,Associate Minister of Housing (Social Housing)
minister-for-courts,Minister for Courts
associate-minister-of-justice-firearms,Associate Minister of Justice (Firearms)
secretary-for-justice-and-chief-executive,Secretary for Justice and Chief Executive
minister-for-seniors,Minister for Seniors
minister-for-youth,Minister for Youth
tumu-whakarae-chief-executive,Tumu Whakarae | Chief Executive
kaihautu-maori-co-leader,Kaihautū | Māori Co-leader
minister-responsible-for-the-ncsc,Minister Responsible for the NCSC
deputy-director-general,Deputy Director-General
minister-for-emergency-management-and-recovery,Minister for Emergency Management and Recovery
national-librarian,National Librarian
chief-of-army,Chief of Army
minister-of-customs,Minister of Customs
acting-chief-executive-and-comptroller,Acting Chief Executive and Comptroller
chief-of-defence-force,Chief of Defence Force
chief-of-navy,Chief of Navy
chief-of-air-force,Chief of Air Force
deputy-chief-executive-officer,Deputy Chief Executive Officer
acting-chief-executive-officer,Acting Chief Executive Officer
chairperson-surveyor-general,Chairperson/Surveyor-General
associate-minister-of-police,Associate Minister of Police
minister-of-police,Minister of Police
commissioner-of-police,Commissioner of Police
minister-responsible-for-the-nzsis,Minister Responsible for the NZSIS
director-general-of-security,Director-General of Security
minister-for-economic-development,Minister for Economic Development
minister-for-treaty-of-waitangi-negotiations,Minister for Treaty of Waitangi Negotiations
chief-censor,Chief Censor
clerk-of-the-house,Clerk of the House
chief-ombudsman,Chief Ombudsman
chief-parliamentary-counsel,Chief Parliamentary Counsel
associate-minister-of-health-pharmac,Associate Minister of Health (Pharmac)
privacy-commissioner,Privacy Commissioner
deputy-privacy-commissioner,Deputy Privacy Commissioner
minister-for-the-public-service,Minister for the Public Service
public-service-commissioner,Public Service Commissioner
acting-governor,Acting Governor
chief-executive-and-director,Chief Executive and Director
minister-for-social-investment,Minister for Social Investment
registrar,Registrar
minister-of-statistics,Minister of Statistics
acting-chief-executive-and-government-statistician,Acting Chief Executive and Government Statistician
,
retirement-commissioner,Retirement Commissioner
kaihautu,Kaihautū
co-chair,Co-Chair
chief-executive-te-puni-kokiri,"Chief Executive, Te Puni Kōkiri"
minister-for-maori-crown-relations-te-tari-whakatau,Minister for Māori Crown Relations: Te Tari Whakatau
maori-trustee-and-chief-executive,Māori Trustee and Chief Executive
te-taiurungi-chief-executive,Te Taiurungi / Chief Executive
tumuaki,Tumuaki
deputy-prime-minister,Deputy Prime Minister
secretary-and-chief-executive,Secretary and Chief Executive
deputy-chair,Deputy Chair
deputy-chief-executive-portfolio-manager-research-and-planning-systems,"Deputy Chief Executive, Portfolio Manager — Research and Planning Systems"
valuer-general,Valuer-General
minister-for-veterans,Minister for Veterans
